NAME	LEN	DEPTH	TIME	TP	FP	FN	PRC	RCL	FS	DBN	PRED
RF00619	156	62	37.35	14	27	0	0.341	1.0	0.509	......................................................((((.....))))...........................((((...........((((((........)))..)))...........))))..........	((((((({{{[[[((((.[[[[.......))))((((...)))).......(..((((.....))))).....)))..)).).).}...}}...((((.(.........((((((....]]]])))..)))...).......)))).....]]]..
RF02681	163	112	38.019	18	4	3	0.818	0.857	0.837	...((((.....(((..(((....................................)))....(..(((.........))).)(((((((.............................................))))))).)))........)))).....	...(((((.......(.((((..................................)))).)..(..((((.......)))).)(((((((.............................................))))))).........)..)))).....
RF01734	169	289	38.793	14	1	0	0.933	1.0	0.966	.........[[[[..(((.(((.]]]].......................................................((((............................................................))))....)))))).........	........[[[[[..(((.(((.]]]]]......................................................((((............................................................))))....)))))).........
RF01998	175	237	39.567	17	4	5	0.81	0.773	0.791	((..(.(((((((...........))..))))).)......))..................(((....)))(((.......(.((..................(.((..............................................))).......)))......)))	....(.(((((((...........))..))))).)......(((..................)))......(((.......(.((..................(.((.(..........................................).))).......)))......)))
RF00442	178	100	40.275	22	11	8	0.667	0.733	0.698	.......((((((..((...(((((((..((.........................))..))))..).).).))....))).))).((((((((.............................................))..).)))).).(.[...(((.......))).)..]..	.......[[[[[[[....(((((((((..(((.......................)))..))))........(((..]]]].]]].(((((((((...........................................)))..).)))).)...)))..((.......)))))))...
RF01831	179	101	40.955	31	4	6	0.886	0.838	0.861	.(.((.((....(((((((((((((....................((..((((((((....[[[[[...))))))))))....(.(((........................................................))))))).)))))))).)).]]]]]..))).).).	.(.((.((....(((((((((((..........................((((((((....[[[[....)))))))).(....(.(((........................................................))))[[)))))))))).))]]]]]]..))).).).
RF00029	186	92	41.626	18	4	1	0.818	0.947	0.878	..((((((((.(((((.........)))))...))))))))..........................((.((.((.................................................................................................))..)).)).....	.(((((((((((((((.........))))..))))))))))).........................((.(((((.................................................................................................))).)).)).....
RF00020	192	180	42.425	29	6	1	0.829	0.967	0.892	..((((..(((.(.((.(((((..............................................((((((((...........))))).))).......))).)..)).)))))..............)))).........................(.......((((((..........)))))))	.(((((.((((.(.((.(((((........................................(.(...((((((((...........))))).))).))....))).)..)).)))))).............)))))...............................((((((((........))))))))
RF00075	193	31	43.064	22	8	0	0.733	1.0	0.846	(((((((((((((..((((((..(((.............................................................................................................................................)))..))))))..)))))))))))))	(((((((((((((..((((((.(((((((((((...............................................................................................................................))))))))))).))))))..)))))))))))))
RF00003	203	100	43.997	43	8	3	0.843	0.935	0.887	...........(((((.(((((..(((...((............))))).))))))(..(((..(.(((.(((((................)).)).).)))..).........)))).((((((.((........))...)).).)))..)))).................(((((..(.((((......)))).)))))).	....(((....((((..(((((..(((...((.......[[[..))))).))))).(..(((....(((.(((((................)).)).).)))............)))).(((((((((........))..))).).)))..)))).))).............(((((.(..((((]]..].)))).)))))).
RF00002	207	61	44.756	16	19	9	0.457	0.64	0.533	........................................((((((((........)).)).......(((.........((.......))..................)))..............))))...(((...))).(((((((((....................)))))..))))........................	....(.........[...[[[.....((.....(((((((]]].(((([[......)).))......(((.........)))]..]...............]......)))))))..............))).(((...))).(((((((((....................)))))..))))........................
RF00458	210	7	45.439	53	16	7	0.768	0.883	0.822	(((((((((......(((((((((............[[[[[[[.......)))))))))....)))))))))....[[[[..((((....)))).....((((.(((((]]]](.(((.....))).)...))))).)))).].]]]]]]...(((((...((((.[[[[[))))..)))))...........]]]]]............	(((((((((..{{{{((((((((((........[[[[[[[[[.......))))))))))[[[.)))))))))....(((((.((((....)))).....<<<<.}}}})))))(.(((]]]..))).).........>>>>...]]]]]]...(((((((.(((.{{{{{{{))))))))))......]]].}}}}}}}...........
RF00059	211	115	46.161	26	3	2	0.897	0.929	0.912	.....(((((((((.((((((.......................................................))).))......(((((..................................................))))))...))))......((((...((((......))))...))))....)))))............	.....(((((((((.((((((.......................................................))).)))....(((((....................................................)))))...))))......((((...(((((....)))))...))))....)))))............
RF00504	215	44	46.782	17	10	5	0.63	0.773	0.694	.....(((((.(((......((((.......................................................))))..(((((..(((....((...............................................................))....))))).))).......................)))))))).....	.....(((((.((((((((.((((((...................................................))))))..[[[...........(((((.........................................................)))))....))))).]]].......................)))))))).....
RF00026	215	188	47.641	5	25	0	0.167	1.0	0.286	(((.((..........................))..).))...............................................................................................................................................................................	(((.((...............[[[........))..).))............((((.((..((((((............]]]..............................................................((([.....[[))).....]]]...((((.........))))...)............)))))).))))).
RF00050	221	146	48.591	26	9	6	0.743	0.812	0.776	..((((((((......(((.......))).[[((((((............................................[[))))...(((....................................................................)))...(((((.......)))))]])).(((.....]]))).......))))))))...	..((((((((...((((((.......))))..[[((((..............................................))))....(.((((((.....................................................))))))....)....(((((.......)))))))]].(((.......))).......))))))))...
RF02678	228	155	49.467	21	7	5	0.75	0.808	0.778	....((((.((...........))))))...(((((...((((.(...((((((((((.....................................................................................................................................))))))))))..).))).)............))))).	....((((.((...........))))))...(((((....[[.(((..(((((((((.......................................................................................................................................))))))))).)).(((]]..)))..)....))))).
RF00001	230	712	51.174	28	10	6	0.737	0.824	0.778	..((((((.((.(.......((.....(.(.(.(.(.................((...............(((....(.((.................))...))).)...))......................)))))...).)..(...((...((......(.((.......((....).).......))....)....)).....)).)..).))..).))))).	..((((((.((.(.......((....((.(.(.(.(....................(..........(..(((....(.((.................))...))).)...))......................))))))..).)..(...((..((.........(((((...(((....).).))))).)...........))....)).)..).))..).))))).
RF01739	230	940	52.361	13	1	1	0.929	0.929	0.929	..(((((.(((((.............................................................................)))))..[......(((...........................................................................................................)))....)))))]...	..(((((.((((((...........................................................................)))))).........(((...........................................................................................................)))....)))))....
RF00234	236	18	53.055	34	13	4	0.723	0.895	0.8	...................((((((((.(..............................................................)...)))))))).........(((((....((((.......)))).......)))))((((((.............)))))).....(((((((.......(((((((....))))))).........)))))))..........	.............((((..((((((((((..............................................................))..))))))))..(((....[[[[[[...)))..........))))...].]]]]]((((((.............)))))).....(((((((((.....((((((([[..))))))).]]...).))))))))..........
RF00162	239	457	54.277	36	2	1	0.947	0.973	0.96	(.(((((((....(.(((.(.....................(((...[[[[.))).........))).))((((.((.(.(((...............................................................)....))).....))))))....(]..]]].((((((................................)))).))....).))))))).)..	(.(((((((....(.(((.(....................((((...[[[[.))))........))).))((((.((.(.(((.(............................................................))....))).....)))))).....]..]]].((((((................................)))).))......))))))).)..
RF02683	240	83	54.983	24	2	2	0.923	0.923	0.923	.........(.(((..(.((((.(.(((((....................................................................).)))))...))).)..(((((........))))).((((((...............................................................................))))))..).)).))......	.........(.(((....(((..(.((((((..................................................................)).)))))....)).)..(((((........))))).(((((((.............................................................................)))))))....)).))......
RF00044	244	3	55.908	18	69	25	0.207	0.419	0.277	..(((..........)))..........(((((....(((((.....)))))...........)))))......................................((((((.((((.....(((.....................)))((((((((............))))))))............((((((...)))))).............))))))))))(((.........)))..	..[[[(...((((((]]]((((((((<((((...[[......[[[.((((......))))[[[[[))))[[[[A.....[[{{{{{{{{)))))))))))))).{(((((((......]]....>...((((((((((]]]]..}.{{{{a.]]]]]<.))))))))))}}}}.(..]]])}}}}}}}}(((((([[[)))))).((]]].......))..))))))))...>]].........
RF00083	249	21	56.688	43	24	7	0.642	0.86	0.735	((...((((((((((.....(((((...((.....................))..)))))......))))))).)).)..)).........(((((((...((((........((((.......................)))).........))))...((.....)).)))))))..........(((.....)))...............(((((((((((.........))))))))))).....	(((((.(((((((((.....((((((..((.....................)).)))))){{{{..)))))))..[.[[.))..))..)))(((((((..((((((.......((((..((......))...........))))........)))))).[[[[..}}}}.)))))))......]]]](((.....)))]]]...........((((((((((((.........))))))))))))....
RF00102	249	54	57.479	36	21	9	0.632	0.8	0.706	((((((.((((((((..((((((.................((((....(((((((.((((......((..((((...........................)..))).).)...)).)))..))))))........(((.(...........)))).............................))))................................))))))..).))).))))))))).)...	((((((.((((((((.(((((((((.........(..(..(((((...(((((((.((....(...(..((((((((......................)))).))).).[[.))..)))..))))))..((....(.(.(....{.....))))).......).....................))))............]]}.))............))))))))).).))).))))))))).)...
RF00025	261	21	58.16	32	13	6	0.711	0.842	0.771	.....(((((...(........(((..((((........))))...)))...................................[.[[[...(((.((]]].]...........)).)))..)........))))).................(((((..........(((....((.((((((................................................))))).))).))).)))))..........	....((((((.....((.....(((..((((........))))...)))...))..........[[[[[......................((((((((..............))))))))..........))))))................(((((..........(((....(((((((((................................................))))))))).))).)))))..]]]]]...
RF00015	261	177	59.224	27	10	1	0.73	0.964	0.831	.....................(((((.(((.....(((.....)))..))))))))...........................................(((..((.(((.(((((..................................))..))))).)))..)))............((((.....................................................................))))....	..............(((((.((((((.(((.....(((.....)))..)))))))).)..)))))((.((...))))......................(((..((.(((.((((....................................)..))))).)))..)))............((((.....................................................................))))....
RF00013	262	150	60.331	48	7	4	0.873	0.923	0.897	.((((((((((.((((.(((..................((((.((((((....................(((.((((((.(....(((((.((......((...((((((..............................))))))....))........)))).)))..)))))))..))).........................)))..))).)..)))..................)))))))...))))))))))..	(((((((((((.(((((.((...((((...........((((.((((((....................(((((((((.......(((((.((......((....(((((..............................))))).....))........)))).)))....))))).)))).........................)))..))).)..)))...........))))...)))))))...))))))))))).
RF02012	267	244	61.515	39	3	2	0.929	0.951	0.94	.((((.((........)).)).)).........((.(((.((((((.((((.((.................................)))))))))..)))......))))).................((((((...........................................)).)))).((.(.(.......((............)).......)))..).....((.((((.............)).)))).......	.((((.((........)).)).))........(((.(((.((((((.((((.((.................................)))))))))..)))......))))))...........(......((((...........................................)).))...((.(.(.......((............)).......)))..)...(.((.((((.............)).)))))...)..
RF00007	269	62	62.353	41	9	1	0.82	0.976	0.891	...(((((...........))))).........(((.(((((.......))))))))......(((((..........................................)))))...........................................................(((((.....(((((..((....((...(((((....(((((........)))))......)))))...)).......))).))))....)))))	...((((.........[[[[))))((((.(...(((.(((((.......))))))))......(((((..........................................)))))..........)))))............................................(((((.....(((((..((....((...(((((....(((((..]]]]..)))))......)))))...)).......))).))))....)))))
RF01807	272	12	63.129	33	25	23	0.569	0.589	0.579	.((((((((.........(((((((............))).)))).((((((..((((((.......((((...((((.....((((((..............))).)........))...................))))((.............................))...[.[[[[[...))))..(((......))))))).))......]]]]]]((((.............))))...)))))).........)))))))).	.......................................(.((...((((((((((((((....((.((((...(((.......(((((..............))).))..........................[[[))).((.....((............)){{.]]].....)).[[[[[...)))).))((......)).)))).)))))}}.]]]]](((((.......[[[[[[)))))...)))))))......)..]]]]]].
RF01750	272	185	64.015	23	1	3	0.958	0.885	0.92	..((((((((((..(([[[[[......................................................................................((((............................................................................))))...))..))))))))))........................................(((((..]]]]]..))))).....	...(((((((((....[[[[[.....................................................................................(((((............................................................................)))))......))))))))).........................................(((((..]]]]]..))))).....
RF00168	274	47	64.802	50	6	3	0.893	0.943	0.917	.....((((((.....((((((.(((............((((((((..............................)))))).))........))).).)))))...((((((((((((.............)))))))).))))(((((((.((((.......))))))))))).(((((((....................................................................))))))).....)))))).....	....(((((((.....((((((.(((............((((((((..((................))........)))))).))........))).).)))))...((((((((((((.............)))))))).))))...((((.((((.......)))))))).((.((((((((..................................................................)))))))).))..)))))))....
RF00380	278	159	65.887	43	8	4	0.843	0.915	0.878	....(((((.(.(([..((.(...(((...(((((.(.((..............................................(((((.(((((.....((.((....)).)).........)).)).)........((((...(((.........])))......))))....)))))..(((.....................................))).........))))))).)..)))...)))....))......))))))....	....(((((.(.((((.(......(((...(((((.(.((.............................................((((((.(((((.....((.((....)).)).........)).)).)......(.((((((.(((..........)))...)).)))))...)))))).((((...................................)))).........))))))).)..)))....))..).))......))))))....
RF00004	278	208	67.303	41	21	4	0.661	0.911	0.766	.......(((.....((((........)))).)))......................((((((........))))))...(((((((....)))))))...................................................((((.((((...........(((((..............).))))........)))).))))...((((((....((((((.................))))))............)))))).......	...............((((........)))).(((.{{{..{[[[[[[......)))[[[[[[((((((((]]]]]]...(((((((....)))))))...............))))))))............................((((.((((...........((((}...}.....}....}.))))........)))).))))...((((((....((((((]]]]]]...........))))))............)))))).......
RF00209	286	25	68.511	48	47	27	0.505	0.64	0.565	.........................(((((((.((((((((.((((((..((((((((..((((((....))))))..(((((...((.((((.(((.............))).))))....)).....)))))((((..)))).)))).))))...((((((((((....))))))))))....(((((.......))))).)))))).)).(((....)))............))).)))...)))))))..................((((...)))).....	....(((({{{{{..[[[.......[[[[[[[[[[[[[[((([[[[[[....{{{[[[..((((((....))))))..)))[[....)))).......(((...((}...}}(((((...}}}}}.{{{]]))))))).)))...]]]....(((((((((((((((.<<.))))))))))...(((((..}}....})))))]]]]]]....>>...)))))....(((((((.]]].]]]]..]]]]]]].......)))))))....((((...))))..]]]
RF00061	308	79	69.97	40	30	37	0.571	0.519	0.544	(.(.(...............((.......((((((.......))))))..........))...........).))..........(((((((((....((..(((((((((((((((((..((((((....))))))((((.((.(((..((.(((((...................))))).))......)))))..)))).(((.....)))).))).)).)))))))((((...(.((.(.......)))..).))))....)))).).)(((......)))((........)).))))))))).	.............................(((.........[[[[))).((((((.....)))))).{{...{{{{{{.......((((((...........]]]](((((((((((((..(((((([[[[)))))).((..((.(((.....(((((.}}}[[[....}}}.....)))))[[[.[[...)))))...))]]]]]........).))).)).))))))).......................].]]..}}.......]]].]............................)))))).
RF01854	315	92	71.396	70	13	28	0.843	0.714	0.773	(((((((((((.((((((((...)))))))).....((((((..........)))))).)))).......(((.((((..((((((...(((((.(((((....((...((((((..((.(((..........(((((((((...((((((...((.(((((..((((.(((...(((((....(((....)))....))))).)))))))..))))).))......)))))).....)).))))))).......)))..))..))))))...))...)))))..)))))...)))))).)))).))))))))))	((((((..............(((((...........[[[[[...)))))....]]]]]............(((.(((....((((((..(((((.(((((.......(.((((((..((...............((((((((...((((((...((((((((...(((.((...[[((((..]](((....)))....))))...)))))...))))).).))....))))))..)...).)))))).............))..))))))..).....)))))..)))))..))))))...))).))).))))))
RF00012	316	87	72.545	44	18	19	0.71	0.698	0.704	(((((..((((((....((.(((.......))).))...))))))..)))))...........(((..((........)))))...................(((...((.......................(((((((((.((.(....(((.........((((....((((............(((((........)))))............))))...))))............)))..((...(((...(.(.((.............))).))))...))..))))))))).)))........)))))	..(((..((((......[[.[[..[[[..[[...))..)))))....................(((..............)))...................(((...((.......................(((((((((.((.(.((.(((.........((((....((((............(((((........)))))............))))...))))......]]]]].))))).(...(((...(.(.((.............))).))))...)...))))))))).)))...]]]].)))))
